Frame,Exercise,Elbow_Angle,Shoulder_Angle,Hip_Angle,Knee_Angle,Trunk_Inclination,Rep_Tracking_Angle,Rep_Stage,Form,ML_Prediction,Confidence_Pct,Reps,Issues,Form_Score,ROM_Score,Stability_Score,Symmetry_Score,Tempo_Score,Posture_Score,Stability,Symmetry,Smoothness
18,Bicep_curls,82.39,81.51,14.92,143.43,,82.4,up,Bad,Bad,95.0,0,Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base; Shoulder swing detected — isolate the biceps.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,95.9,100.0,100.0,100.0,100.0,59.0,100.0,100.0,100.0
19,Bicep_curls,80.99,82.05,6.96,54.53,,81.0,up,Bad,Bad,95.5,0,Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base; Shoulder swing detected — isolate the biceps.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,85.8,71.1,100.0,100.0,100.0,59.0,100.0,100.0,100.0
